Country,"D01T02: Agriculture, hunting, forestry",D03: Fishing and aquaculture,"D05T06: Mining and quarrying, energy producing products","D07T08: Mining and quarrying, non-energy producing products",D09: Mining support service activities,"D10T12: Food products, beverages and tobacco","D13T15: Textiles, textile products, leather and footwear",D16: Wood and products of wood and cork,D17T18: Paper products and printing,D19: Coke and refined petroleum products,D20: Chemical and chemical products,"D21: Pharmaceuticals, medicinal chemical and botanical products",D22: Rubber and plastics products,D23: Other non-metallic mineral products,D24: Basic metals,D25: Fabricated metal products,"D26: Computer, electronic and optical equipment",D27: Electrical equipment,"D28: Machinery and equipment, nec","D29: Motor vehicles, trailers and semi-trailers",D30: Other transport equipment,D31T33: Manufacturing nec; repair and installation of machinery and equipment,"D35: Electricity, gas, steam and air conditioning supply","D36T39: Water supply; sewerage, waste management and remediation activities",D41T43: Construction,D45T47: Wholesale and retail trade; repair of motor vehicles,D49: Land transport and transport via pipelines,D50: Water transport,D51: Air transport,D52: Warehousing and support activities for transportation,D53: Postal and courier activities,D55T56: Accommodation and food service activities,"D58T60: Publishing, audiovisual and broadcasting activities",D61: Telecommunications,D62T63: IT and other information services,D64T66: Financial and insurance activities,D68: Real estate activities,"D69T75: Professional, scientific and technical activities",D77T82: Administrative and support services,D84: Public administration and defence; compulsory social security,D85: Education,D86T88: Human health and social work activities,"D90T93: Arts, entertainment and recreation",D94T96: Other service activities,D97T98: Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
Australia,72.4671232876712,7.8441095890411,200.242739726027,152.091780821918,15.0621917808219,50.5167123287671,4.55506849315069,9.56630136986301,10.0835616438356,9.99178082191781,10.0290410958904,8.32767123287671,8.92164383561644,13.572602739726,12.6712328767123,20.5230136986301,10.9284931506849,4.54602739726027,10.0967123287671,6.86794520547945,8.85534246575342,17.4890410958904,57.9120547945205,38.6019178082192,289.025753424657,297.886575342466,51.7753424657534,25.1490410958904,19.8950684931507,68.793698630137,12.6024657534247,88.3079452054795,23.1517808219178,40.6402739726027,80.0756164383562,335.129863013699,411.068767123288,193.903561643836,148.971232876712,199.576712328767,180.454794520548,270.556438356164,51.478904109589,48.2747945205479,0
Austria,14.212602739726,0.0923287671232877,2.06328767123288,1.80054794520548,0.0608219178082192,20.8849315068493,3.12301369863014,8.55972602739726,9.60630136986302,3.39561643835616,8.70191780821918,7.3613698630137,8.50575342465753,8.83424657534247,15.3693150684932,21.3128767123288,12.5994520547945,17.8912328767123,31.1457534246575,13.5,3.87534246575342,16.5983561643836,20.1112328767123,11.4547945205479,74.5890410958904,129.580821917808,31.2643835616438,0.168219178082192,2.70328767123288,24.4504109589041,4.68931506849315,59.1446575342466,8.04958904109589,9.34246575342466,22.2375342465753,45.0975342465753,110.102739726027,59.4567123287671,49.9531506849315,55.5454794520548,59.1627397260274,77.7838356164384,13.7383561643836,16.4578082191781,0.561369863013699
Belgium,7.29068493150685,0.138904109589041,0,0.812054794520548,0.00438356164383562,26.7868493150685,4.43753424657534,3.16575342465753,6.39671232876712,4.53397260273973,29.5246575342466,25.2742465753425,7.53315068493151,8.65013698630137,10.6030136986301,13.0449315068493,5.29013698630137,3.63342465753425,12.593698630137,7.60712328767123,2.87397260273973,10.7638356164384,17.5052054794521,13.1227397260274,69.726301369863,155.679178082192,27.0556164383562,2.81315068493151,1.66575342465753,35.2956164383562,6.66712328767123,25.2479452054795,10.153698630137,17.2290410958904,30.2038356164384,82.4947945205479,123.24602739726,136.194520547945,68.5386301369863,99.7805479452055,91.3509589041096,93.0978082191781,9.52246575342466,16.4008219178082,1.56575342465753
Canada,82.2493150684931,6.87287671232877,147.699726027397,52.6123287671233,30.6545205479452,75.8082191780822,5.41013698630137,24.5,29.28,24.8523287671233,34.0452054794521,11.6567123287671,23.5219178082192,17.3517808219178,27.4517808219178,33.6328767123288,14.3978082191781,8.94575342465753,34.7254794520548,41.3328767123288,27.6528767123288,37.0890410958904,89.1109589041096,23.0569863013699,333.213150684932,475.429863013699,110.773698630137,3.93643835616438,22.6956164383562,48.1449315068493,18.3980821917808,101.308219178082,42.6709589041096,79.667397260274,84.227397260274,317.436438356164,538.91095890411,194.060547945205,138.467671232877,315.090410958904,240.174520547945,326.809589041096,34.3750684931507,49.8764383561644,7.4213698630137
Chile,24.3109589041096,4.88164383561644,0.414246575342466,42.0728767123288,0.232876712328767,32.4690410958904,1.34876712328767,3.81150684931507,9.30739726027397,0.917808219178082,4.93287671232877,1.85671232876712,2.48931506849315,2.36575342465753,38.6542465753425,4.84657534246575,2.16438356164384,0.486027397260274,2.53972602739726,0,2.77945205479452,3.69808219178082,18.3723287671233,5.57424657534247,54.2482191780822,78.3991780821918,18.8479452054795,0.974794520547945,3.9572602739726,14.2221917808219,1.02027397260274,18.3898630136986,4.55452054794521,5.68630136986301,8.3758904109589,38.5695890410959,67.5739726027397,52.4865753424657,28.7728767123288,39.521095890411,42.9424657534247,40.1879452054795,7.41150684931507,9.01917808219178,0
Colombia,55.118904109589,1.76575342465753,48.1350684931507,5.13287671232877,0.186027397260274,28.9569863013699,9.63095890410959,0.958356164383562,4.55561643835616,12.0167123287671,9.31972602739726,3.84575342465753,2.74082191780822,11.0241095890411,3.5441095890411,2.64219178082192,0.052054794520548,1.90082191780822,0.465205479452055,1.70986301369863,0.581369863013699,7.95041095890411,20.9002739726027,9.26931506849315,60.2268493150685,80.2030136986301,31.0254794520548,0.296986301369863,4.50931506849315,8.25753424657534,0.997260273972603,35.3904109589041,2.2613698630137,15.7005479452055,8.25972602739726,39.4298630136986,80.3131506849315,28.6813698630137,33.8457534246575,56.0476712328767,43.7495890410959,36.3783561643836,8.8254794520548,6.93013698630137,5.67315068493151
Costa Rica,7.08054794520548,0.0964383561643836,0.00794520547945205,0.494794520547945,5.47945205479452e-4,7.58328767123288,0.482739726027397,0.236164383561644,0.85013698630137,0.499178082191781,1.03835616438356,0.356438356164383,0.304109589041096,0.920547945205479,0.237534246575342,0.49013698630137,0.167671232876712,0.535068493150685,0.0356164383561644,0.0564383561643836,0.0073972602739726,5.97890410958904,3.27452054794521,1.17698630136986,7.62465753424658,15.2175342465753,3.51178082191781,0.613698630136986,0.584657534246575,2.20191780821918,0.544383561643836,5.53753424657534,0.561369863013699,2.69671232876712,4.52739726027397,9.14575342465753,13.3427397260274,11.2580821917808,7.83397260273973,7.11698630136986,12.4942465753425,10.3723287671233,1.48876712328767,2.21452054794521,2.01780821917808
Czechia,13.1232876712329,0.0720547945205479,2.80438356164384,1.07452054794521,0.204383561643836,13.527397260274,3.3758904109589,3.93753424657534,4.53452054794521,0.281369863013699,5.35917808219178,2.52630136986301,11.5120547945205,6.93780821917808,5.09068493150685,17.4775342465753,9.07013698630137,12.0630136986301,13.6556164383562,31.5367123287671,3.0227397260274,10.866301369863,16.9616438356164,6.3186301369863,33.8972602739726,68.7783561643836,18.1295890410959,0.0405479452054795,0.485479452054794,13.6054794520548,2.10986301369863,12.7542465753425,6.73808219178082,7.96054794520548,18.5621917808219,24.1342465753425,52.7438356164384,30.5553424657534,11.1764383561644,38.1282191780822,27.2852054794521,28.2364383561644,5.93506849315069,6.53506849315069,0.676712328767123
Denmark,8.56657534246575,1.30602739726027,8.15287671232877,0.367945205479452,0.927945205479452,14.8235616438356,1.40849315068493,1.8413698630137,2.25616438356164,2.57616438356164,8.68520547945206,31.0912328767123,3.81698630136986,4.4213698630137,1.51205479452055,7.55561643835617,7.82054794520548,3.5786301369863,18.9884931506849,1.32027397260274,0.737808219178082,12.846301369863,10.3791780821918,7.13013698630137,51.56,107.772328767123,14.4950684931507,10.6402739726027,2.34931506849315,11.0268493150685,2.42904109589041,14.2676712328767,11.9095890410959,7.8172602739726,18.8243835616438,47.5049315068493,85.6778082191781,55.266301369863,27.4731506849315,40.5493150684932,51.0202739726027,85.3846575342466,12.9676712328767,12.5528767123288,2.11890410958904
Estonia,2.10219178082192,0.12958904109589,0.571780821917808,0.22986301369863,0.00410958904109589,1.30082191780822,0.598356164383562,1.81506849315069,0.498630136986301,0.255068493150685,0.403561643835617,0.0547945205479452,0.430958904109589,0.70794520547945206,0.0468493150684932,1.38054794520548,0.478082191780822,0.714520547945206,0.495890410958904,0.384657534246575,0.101095890410959,1.42630136986301,2.56876712328767,0.482191780821918,5.30191780821918,8.52986301369863,2.12301369863014,0.387123287671233,0.0112328767123288,2.63917808219178,0.217808219178082,1.43890410958904,0.561369863013699,1.07835616438356,2.90547945205479,2.9227397260274,7.76520547945206,3.90958904109589,2.6841095890411,4.95479452054795,3.58493150684931,3.04958904109589,1.10547945205479,0.613424657534247,0.0435616438356164
